AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Ramesh Murthy,18,M,A1
2,1,Anitha Gowda,34,F,A2
3,1,Basavaraj Rao,18,M,A3
4,1,Ramesh Kumar,26,M,A4
5,2,Praveen Raju,18,M,A1
6,3,Ganesh Hegde,23,M,A1
7,4,Mahesh Nair,20,M,A1
8,4,Praveen Sharma,24,M,A2
9,5,Anitha Swamy,27,F,A1
10,6,Basavaraj Pillai,26,M,A1
11,7,Lakshmi Shetty,29,F,A1
12,8,Ravi Gowda,25,M,A1
13,8,Manjunath Naik,34,M,A2
14,9,Asha Hegde,18,T,A1
15,10,Ramesh Hegde,42,M,A1
16,11,Geetha Hegde,20,F,A1
17,12,Dinesh Naik,28,M,A1
18,13,Naveen Rao,19,M,A1
19,14,Shivaraj Rao,21,M,A1
20,14,Asha Hegde,23,F,A2
21,15,Venkatesh Shetty,31,M,A1
22,16,Usha Bhat,24,F,A1
23,16,Vinitha Gowda,20,F,A2
24,16,Suresh Pillai,27,M,A3
25,17,Santosh Sharma,30,M,A1
26,18,Vinitha Kumar,30,F,A1
27,18,Naresh Reddy,47,M,A2
28,18,Santosh Rao,23,M,A3
29,18,Dinesh Bhat,30,M,A4
30,19,Prakash Raju,36,M,A1
31,19,Shobha Gowda,40,T,A2
32,20,Basavaraj Patil,25,M,A1
33,21,Savitha Murthy,18,F,A1
34,21,Santosh Naik,25,M,A2
35,22,Manjunath Patil,30,M,A1
36,23,Savitha Sharma,49,F,A1
37,24,Rajesh Reddy,18,M,A1
38,25,Kavitha Patil,20,F,A1
39,26,Basavaraj Bhat,35,M,A1
40,26,Vinitha Pillai,27,F,A2
41,26,Girish Patil,22,M,A3
42,27,Rajesh Reddy,35,M,A1
43,27,Praveen Kumar,23,M,A2
44,28,Naresh Raju,18,M,A1
45,28,Kumar Swamy,18,M,A2
46,29,Ganesh Kumar,30,M,A1
47,30,Harish Nair,28,M,A1
48,31,Naveen Swamy,28,M,A1
49,31,Rekha Naik,32,T,A2
50,31,Kumar Naik,29,M,A3
51,31,Savitha Raju,30,F,A4
52,32,Manjunath Kumar,31,M,A1
53,32,Shobha Kumar,22,F,A2
54,32,Mahesh Murthy,21,M,A3
55,33,Shivaraj Murthy,24,M,A1
56,34,Suresh Sharma,29,M,A1
57,35,Naresh Rao,27,M,A1
58,36,Srinivas Hegde,32,M,A1
59,37,Naveen Sharma,20,M,A1
60,37,Shivaraj Murthy,26,M,A2
61,37,Girish Raju,18,M,A3
62,37,Praveen Sharma,30,M,A4
63,38,Santosh Murthy,26,M,A1
64,39,Mamatha Rao,38,F,A1
65,40,Ravi Gowda,33,M,A1
66,41,Kumar Rao,25,M,A1
67,42,Geetha Swamy,25,F,A1
68,42,Praveen Sharma,18,M,A2
69,43,Harish Kumar,38,M,A1
70,44,Basavaraj Nair,31,M,A1
71,44,Ravi Murthy,34,M,A2
72,44,Shivaraj Reddy,38,M,A3
73,44,Naveen Bhat,35,M,A4
74,45,Praveen Hegde,18,M,A1
75,46,Anitha Rao,31,F,A1
76,46,Vinitha Hegde,35,F,A2
77,46,Shobha Rao,28,F,A3
78,47,Venkatesh Bhat,25,M,A1
79,48,Venkatesh Patil,24,M,A1
80,49,Rajesh Bhat,21,M,A1
81,50,Naveen Kumar,27,M,A1
82,50,Naresh Reddy,18,M,A2
83,51,Shivaraj Naik,18,M,A1
84,51,Ramesh Pillai,23,M,A2
85,51,Basavaraj Swamy,23,M,A3
86,52,Ravi Pillai,45,M,A1
87,53,Dinesh Nair,38,M,A1
88,54,Naresh Kumar,26,M,A1
89,54,Basavaraj Raju,27,M,A2
90,54,Shobha Kumar,36,F,A3
91,55,Ramesh Raju,27,M,A1
92,55,Santosh Swamy,30,M,A2
93,56,Ganesh Hegde,26,M,A1
94,57,Naresh Gowda,25,M,A1
95,58,Geetha Sharma,30,F,A1
96,59,Kumar Hegde,26,M,A1
97,59,Mahesh Raju,19,M,A2
98,60,Anitha Rao,37,F,A1
99,60,Dinesh Naik,25,M,A2
100,61,Mamatha Reddy,38,F,A1
101,62,Ramesh Murthy,36,M,A1
102,63,Rajesh Kumar,31,M,A1
103,64,Naresh Raju,37,M,A1
104,65,Srinivas Hegde,26,M,A1
105,66,Basavaraj Murthy,23,M,A1
106,66,Ramesh Raju,22,M,A2
107,67,Manjunath Kumar,28,M,A1
108,67,Venkatesh Nair,33,M,A2
109,68,Kumar Patil,31,M,A1
110,68,Mamatha Murthy,43,F,A2
111,69,Mahesh Hegde,32,M,A1
112,69,Mahesh Raju,23,M,A2
113,70,Suresh Sharma,29,M,A1
114,71,Shivaraj Raju,36,M,A1
115,71,Praveen Gowda,29,M,A2
116,72,Suresh Pillai,35,M,A1
117,72,Mahesh Shetty,24,M,A2
118,73,Naveen Sharma,24,M,A1
119,74,Lakshmi Sharma,22,F,A1
120,75,Girish Kumar,37,M,A1
121,75,Ganesh Sharma,34,M,A2
122,76,Kumar Swamy,28,M,A1
123,76,Naveen Shetty,23,M,A2
124,77,Praveen Raju,25,M,A1
125,77,Meena Hegde,30,F,A2
