ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Rekha Naik,24,7,1,7,F
2,2,Udant Dewan,54,1,1,10,M
3,3,Srinivas Sharma,46,10,1,5,M
4,4,Lakshmi Bhat,39,6,1,5,M
5,5,Viraj Tiwari,56,4,1,3,M
6,6,Rushil Saini,22,2,1,1,F
7,7,Saumya Mall,35,4,1,1,F
8,8,Nathaniel Sami,19,1,1,8,M
9,9,Mahesh Rao,37,1,1,5,F
10,10,Gayathri Chaudry,54,1,1,5,F
11,11,Lajita Chatterjee,27,1,1,9,F
12,12,Hemangini Lalla,18,6,1,2,F
13,13,Tripti Yadav,34,1,2,6,M
14,14,Kavitha Hegde,29,2,1,1,F
15,15,Janaki Handa,22,1,1,4,F
16,16,Chakradev Kari,42,1,2,4,M
17,17,Usha Bhat,27,5,2,6,F
18,18,Lajita Mall,21,8,1,4,F
19,19,Janya Gaba,48,5,1,3,F
20,20,Mamatha Hegde,38,6,1,6,M
21,21,Ekbal Garg,61,1,1,2,M
22,22,Nihal Shere,57,4,1,3,F
23,23,Basavaraj Raju,40,2,2,3,M
24,24,Kavitha Hegde,46,5,1,2,F
25,25,Harish Swamy,25,4,1,4,F
26,26,Mamatha Hegde,44,4,1,1,F
27,27,Dinesh Gowda,39,1,1,1,F
28,28,Tara Dhar,35,8,1,3,F
29,29,Meena Kumar,37,6,1,3,M
30,30,Priya Rastogi,18,2,1,2,M
31,31,Theodore Devi,49,7,2,1,M
32,32,Naveen Hegde,58,5,1,3,F
33,33,Basavaraj Patil,18,1,4,6,F
34,34,Santosh Shetty,31,5,1,7,M
35,35,Upadhriti Wadhwa,58,3,2,2,M
36,36,Suma Reddy,18,1,1,2,F
37,37,Asha Swamy,46,5,1,1,M
38,38,Radhika Dugar,43,2,1,5,M
39,39,Girish Gowda,18,5,1,7,M
40,40,Yashica Cherian,18,6,3,2,F
41,41,Yashica Issac,63,7,1,3,F
42,42,Kashvi Edwin,44,1,1,3,F
43,43,Lakshmi Shetty,51,2,1,1,F
44,44,Anitha Rao,35,3,1,6,M
45,45,Harish Hegde,44,3,1,1,M
46,46,Savitha Hegde,29,4,1,1,F
47,47,Ekapad Walia,32,4,1,10,M
48,48,Rekha Rao,22,4,1,2,M
49,49,Savitha Murthy,34,4,1,8,M
50,50,Praveen Kumar,52,6,1,2,M
51,51,Devika Rastogi,47,1,1,6,M
52,52,Raksha Varughese,54,1,1,6,F
53,53,Savitha Gowda,64,7,1,6,M
54,54,Devansh Nigam,36,1,1,6,F
55,55,Lakshmi Shetty,58,4,1,5,M
56,56,Basavaraj Reddy,34,6,2,1,M
57,57,Mahesh Kumar,29,1,1,1,F
58,58,Prakash Gowda,36,3,1,1,F
59,59,Rekha Pillai,28,2,1,1,F
60,60,Kevin Solanki,57,2,1,2,F
61,61,Urvashi Ray,64,2,1,1,F
62,62,Girindra Chatterjee,58,4,2,5,F
63,63,Naresh Gowda,35,4,1,2,M
64,64,Pushpa Pillai,44,1,1,1,M
65,65,Ganesh Rao,31,3,1,4,M
66,66,Anitha Naik,41,6,1,2,F
67,67,Rekha Swamy,26,5,1,8,M
68,68,Anitha Murthy,22,3,1,1,F
69,69,Anitha Patil,23,1,2,2,M
70,70,Mamatha Shetty,40,3,1,6,F
71,71,Suma Raju,61,2,1,2,M
72,72,Girik Khalsa,42,2,1,2,F
73,73,Rekha Reddy,40,4,1,6,M
74,74,Shivaraj Swamy,43,2,1,6,M
75,75,Ganesh Rao,19,3,1,6,M
76,76,Santosh Naik,26,2,1,5,M
77,77,Bhavika Sampath,42,4,1,2,M
78,78,Mohammed Gupta,71,1,1,2,F
79,79,Srinivas Raju,23,5,2,1,F
80,80,Dipta Bhandari,51,3,1,3,F
81,81,Ramesh Hegde,48,1,4,3,M
82,82,Dakshesh Trivedi,31,4,1,2,F
83,83,Girish Reddy,44,2,1,5,F
84,84,Anitha Rao,47,1,2,1,M
85,85,Yatin Baral,33,3,1,5,F
86,86,Oni Virk,55,1,1,1,F
87,87,Santosh Raju,27,2,1,2,M
88,88,William Lanka,52,1,1,6,M
89,89,Karan Mital,20,3,1,8,F
90,90,Naveen Raju,28,5,1,5,F
91,91,Tara Chaudhry,41,1,1,1,M
92,92,Pushpa Nair,43,4,2,3,F
93,93,Harish Shetty,48,3,1,2,M
94,94,Yash Pingle,33,6,1,7,M
95,95,Shobha Kumar,22,2,1,1,M
96,96,Abhiram Mistry,33,9,3,1,M
97,97,Rekha Hegde,29,1,1,7,M
98,98,Shobha Rao,44,10,1,1,M
99,99,Baghyawati Kade,55,1,1,2,M
100,100,Mahesh Rao,44,2,1,2,F
101,101,Girish Hegde,42,1,2,2,F
102,102,Venkatesh Rao,47,2,1,1,M
103,103,Kumar Raju,26,1,1,5,F
104,104,Adweta Edwin,53,5,1,6,F
105,105,Prisha Andra,31,1,1,1,F
106,106,Prakash Kumar,42,4,1,6,F
107,107,Naresh Hegde,66,5,1,2,M
108,108,Geetha Reddy,25,4,1,6,M
109,109,Savitha Naik,19,2,1,3,M
110,110,Dinesh Hegde,25,2,1,1,M
111,111,Irya Ray,43,2,1,1,F
112,112,Warjas Gaba,37,3,1,3,F
113,113,Asha Rao,43,1,1,3,F
114,114,Lakshmi Hegde,32,6,2,4,F
115,115,Shobha Raju,54,8,1,9,M
116,116,Lavanya Barad,26,5,1,2,M
117,117,Ravi Bhat,31,2,1,3,M
118,118,Naveen Sharma,28,3,1,2,F
119,119,Udant Bajwa,44,6,1,7,M
120,120,Mamatha Murthy,50,2,1,1,M
121,121,Ekaraj Mallick,59,3,2,3,M
122,122,Ramesh Reddy,38,3,1,6,F
123,123,Geetha Murthy,41,3,1,1,M
124,124,Pranav Lanka,49,3,2,4,F
125,125,Lakshmi Bhat,18,8,1,2,F
126,126,Dipta Sarin,42,1,1,2,F
127,127,Lekha Gupta,35,1,1,2,M
128,128,Savitha Hegde,19,4,1,6,M
129,129,Suma Gowda,44,2,1,2,M
130,130,Januja Sankar,43,3,1,4,M
131,131,Pushpa Nair,22,4,1,3,M
132,132,Charita Tripathi,50,1,1,3,M
133,133,Usha Sharma,46,1,1,1,M
134,134,Girish Kumar,34,7,1,4,M
135,135,Osha Raghavan,27,1,1,7,F
136,136,Meena Raju,41,1,1,1,M
137,137,Shivaraj Kumar,35,8,1,1,M
138,138,Qushi Nagy,21,6,1,5,M
139,139,Santosh Reddy,39,4,1,1,M
140,140,Yasti Solanki,41,2,1,2,M
141,141,Mahesh Shetty,41,6,1,2,M
142,142,Lakshmi Sharma,27,7,1,5,M
143,143,Prakash Pillai,19,8,1,1,F
144,144,Aryan Batra,55,6,4,5,F
