EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1,5,63,1,1,KA2458591,Rajesh Bhat,1987-01-03,M,7,0,2009-10-09
2,15,130,1,2,KA8038374,Mahesh Kumar,1970-01-06,M,4,0,1992-02-24
3,1,2,6,1,KA8090293,Girish Nair,1989-11-10,M,6,0,2015-10-04
4,1,27,2,1,KA7022674,Dinesh Nair,1992-11-10,M,6,0,2016-12-22
5,17,138,2,1,KA5918715,Suresh Bhat,1991-06-03,M,6,0,2015-07-12
6,4,59,4,1,KA4905582,Mahesh Naik,1984-01-15,M,2,0,2006-06-21
7,9,94,6,1,KA6960453,Srinivas Raju,1989-09-22,M,4,0,2013-10-14
8,3,44,4,1,KA5107245,Mahesh Swamy,1973-01-22,M,3,0,1999-02-18
9,29,177,4,1,KA6440561,Girish Sharma,1972-01-14,M,1,0,1995-04-02
10,10,103,2,2,KA6279418,Suresh Nair,1985-01-04,M,4,0,2007-05-14
11,25,165,7,1,KA5443951,Ravi Sharma,1976-06-09,M,3,0,1999-03-23
12,20,150,1,4,KA7073292,Shivaraj Murthy,1977-10-20,M,4,0,2003-01-22
13,1,24,2,1,KA3564251,Kavitha Murthy,1994-11-28,F,3,0,2021-09-20
14,9,99,1,4,KA9877065,Kumar Swamy,1979-11-26,M,5,0,2005-03-24
15,1,30,4,1,KA5476583,Asha Naik,1972-12-07,F,6,0,1999-02-16
16,1,1,2,2,KA9517485,Kumar Reddy,1985-03-16,M,2,0,2009-12-30
17,15,130,4,1,KA3564217,Harish Pillai,1969-09-14,M,6,0,1992-10-20
18,16,136,7,1,KA6438436,Shivaraj Nair,1996-12-29,M,8,0,2022-05-03
19,6,79,6,1,KA5041154,Prakash Sharma,1986-04-12,M,2,0,2008-08-02
20,16,137,1,4,KA3770370,Basavaraj Pillai,1991-05-19,M,5,0,2014-01-30
21,17,139,1,3,KA7693979,Naveen Hegde,1987-12-31,M,6,0,2013-12-24
22,5,64,1,3,KA1352896,Manjunath Shetty,1986-12-10,M,4,0,2009-04-14
23,24,162,4,1,KA2130789,Rajesh Gowda,1994-05-19,M,1,0,2017-08-24
24,6,72,1,2,KA8930103,Mahesh Murthy,1975-03-31,M,4,0,1998-06-06
25,1,25,1,3,KA8106470,Kumar Kumar,1967-06-18,M,7,0,1991-11-11
26,25,166,4,1,KA7754864,Suresh Raju,1992-08-09,M,6,0,2014-12-06
27,3,49,1,2,KA8077999,Ganesh Kumar,1972-12-18,M,3,0,1997-06-18
28,1,20,7,1,KA2642635,Venkatesh Pillai,1977-02-21,M,1,0,2003-08-28
29,1,24,1,4,KA9147706,Shivaraj Pillai,1986-06-02,M,8,0,2009-05-02
30,3,43,1,4,KA5449368,Ravi Sharma,1980-01-08,M,8,0,2002-01-06
31,14,125,4,1,KA5977931,Shivaraj Raju,1990-01-28,M,4,0,2013-02-14
32,1,16,3,1,KA1841248,Mamatha Bhat,1982-12-14,F,8,0,2005-04-04
33,15,131,1,2,KA2149597,Manjunath Reddy,1993-06-05,M,2,0,2020-03-08
34,19,146,1,1,KA2375453,Venkatesh Hegde,1985-12-23,M,7,0,2011-03-17
35,5,67,2,3,KA5004485,Praveen Murthy,1987-11-10,M,5,0,2013-08-06
36,1,19,2,1,KA2229110,Harish Shetty,1996-08-08,M,4,0,2021-02-26
37,1,18,2,3,KA3646552,Ramesh Sharma,1986-01-23,M,8,0,2010-02-12
38,26,168,5,1,KA6022741,Harish Swamy,1973-04-17,M,2,0,1995-04-28
39,1,28,1,3,KA5727085,Kavitha Rao,1972-03-15,F,4,0,1995-01-22
40,5,68,4,1,KA5213115,Dinesh Raju,1974-05-08,M,1,0,1999-01-27
41,1,12,1,2,KA5394880,Kumar Pillai,1996-11-10,M,3,0,2020-09-18
42,19,144,2,1,KA3500715,Shivaraj Bhat,1996-08-02,M,1,0,2019-03-14
43,11,111,1,3,KA7117837,Praveen Murthy,1991-04-21,M,1,0,2013-07-09
44,27,171,1,4,KA3592974,Lakshmi Raju,1992-05-29,F,4,0,2016-05-17
45,1,7,2,3,KA7907400,Naresh Sharma,1988-12-22,M,4,0,2015-02-02
46,1,10,6,1,KA4348276,Ganesh Hegde,1975-11-28,M,8,0,1999-02-20
47,26,169,1,3,KA5674183,Venkatesh Kumar,1988-05-10,M,2,0,2012-07-29
48,15,131,4,1,KA9996207,Savitha Patil,1979-02-03,F,6,0,2004-11-19
49,3,46,1,1,KA2818692,Suma Sharma,1970-12-23,F,7,0,1994-06-13
50,15,131,3,1,KA4188992,Santosh Hegde,1991-11-01,M,5,0,2015-12-23
51,17,138,3,1,KA8235969,Kumar Naik,1988-03-07,M,2,0,2012-03-16
52,27,170,2,3,KA9508103,Rekha Swamy,1991-06-07,F,5,0,2017-06-14
53,6,76,4,1,KA4218542,Santosh Hegde,1972-02-25,M,7,0,1994-11-06
54,3,45,4,1,KA6049101,Ravi Raju,1969-05-30,M,7,0,1994-08-02
55,4,54,1,3,KA8801207,Rajesh Rao,1977-09-26,M,8,0,2004-02-16
56,3,44,2,3,KA9647849,Dinesh Murthy,1967-06-20,M,6,0,1989-12-04
57,4,58,1,1,KA1775337,Venkatesh Raju,1988-02-02,M,4,0,2010-11-24
58,1,19,5,1,KA4262081,Mamatha Pillai,1976-08-04,F,7,0,2000-11-24
59,29,177,4,1,KA2788238,Venkatesh Reddy,1996-10-09,M,7,0,2022-12-19
60,18,143,1,1,KA8658158,Manjunath Shetty,1985-11-04,M,3,0,2012-08-01
61,7,82,3,1,KA9468772,Manjunath Murthy,1977-03-02,M,7,0,2002-08-02
62,3,41,7,1,KA5348512,Shivaraj Shetty,1975-09-23,M,4,0,2000-03-26
63,15,134,5,1,KA5013879,Girish Nair,1975-04-14,M,5,0,2000-10-12
64,7,86,1,1,KA3321531,Harish Kumar,1982-09-05,M,3,0,2007-09-10
65,1,17,1,3,KA8816912,Ramesh Bhat,1978-05-30,M,7,0,2002-09-05
66,20,150,7,1,KA7381734,Kumar Hegde,1996-02-22,M,8,0,2022-12-06
67,9,100,5,1,KA4700025,Prakash Rao,1978-03-23,M,8,0,2003-03-24
68,9,100,1,4,KA3768991,Kumar Shetty,1981-12-10,M,8,0,2007-09-04
69,10,101,1,1,KA2408404,Mamatha Murthy,1970-06-21,F,7,0,1995-08-14
70,5,67,1,2,KA8628588,Srinivas Reddy,1980-01-06,M,6,0,2003-11-01
71,11,108,5,1,KA2374158,Ravi Rao,1985-09-14,M,8,0,2012-05-14
72,4,58,2,1,KA1520596,Shivaraj Naik,1967-11-10,M,4,0,1990-03-24
73,5,62,1,1,KA4656838,Rajesh Swamy,1991-05-11,M,8,0,2015-12-30
74,22,156,3,1,KA3747534,Prakash Reddy,1991-11-19,M,5,0,2018-03-24
75,20,148,1,2,KA2275009,Rajesh Sharma,1980-03-08,M,4,0,2004-05-23
76,21,154,4,1,KA1689025,Harish Pillai,1991-08-04,M,6,0,2018-01-14
77,25,166,3,1,KA8047416,Prakash Gowda,1981-09-18,M,8,0,2003-10-08
78,12,118,7,1,KA3955087,Prakash Raju,1990-02-27,M,5,0,2014-08-01
79,13,120,2,3,KA6407373,Shivaraj Nair,1977-06-25,M,4,0,2004-02-05
80,12,116,7,1,KA8796514,Mahesh Rao,1986-01-30,M,7,0,2012-04-09
81,3,47,2,3,KA5334434,Basavaraj Pillai,1975-02-24,M,6,0,1998-04-28
82,6,71,7,1,KA9667566,Naveen Bhat,1972-02-02,M,4,0,1994-02-16
83,5,62,3,1,KA9234615,Kumar Shetty,1975-08-31,M,8,0,2001-04-08
84,10,104,1,3,KA8939993,Mahesh Rao,1986-02-08,M,6,0,2009-10-22
85,30,180,2,3,KA5217853,Shivaraj Patil,1976-08-31,M,4,0,2000-03-02
86,17,138,1,2,KA9123504,Dinesh Patil,1988-09-18,M,5,0,2011-10-10
87,1,26,1,2,KA7054579,Manjunath Swamy,1988-04-24,M,3,0,2011-12-16
88,1,12,1,3,KA3118618,Shivaraj Reddy,1994-07-29,M,8,0,2019-08-30
89,13,121,1,3,KA4093109,Rajesh Swamy,1975-07-19,M,1,0,2000-01-01
90,1,17,6,1,KA2242892,Basavaraj Gowda,1979-01-17,M,1,0,2003-10-15
91,5,64,1,4,KA4786401,Praveen Rao,1991-09-16,M,7,0,2016-10-26
92,20,151,6,1,KA2010496,Srinivas Rao,1977-10-14,M,2,0,2001-06-25
93,5,68,1,2,KA5024269,Lakshmi Raju,1967-05-25,F,3,0,1989-11-01
