VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Rekha Naik,46,F,0
2,2,Harish Shetty,40,M,0
3,3,Srinivas Sharma,39,M,0
4,4,Lakshmi Bhat,28,F,0
5,5,Srinivas Bhat,26,M,0
6,6,Ravi Patil,5,M,0
7,7,Geetha Pillai,34,F,0
8,8,Praveen Nair,47,M,0
9,9,Mahesh Rao,47,M,0
10,10,Suma Swamy,9,F,0
11,11,Srinivas Patil,33,M,0
12,12,Vinitha Reddy,42,F,0
13,13,Pushpa Sharma,50,F,0
14,13,Pushpa Patil,48,F,0
15,14,Kavitha Hegde,47,F,0
16,15,Rekha Shetty,20,F,0
17,16,Dinesh Sharma,39,M,0
18,17,Usha Bhat,49,F,0
19,18,Mahesh Hegde,26,M,0
20,19,Suresh Reddy,38,M,0
21,20,Mamatha Hegde,41,F,0
22,21,Savitha Patil,18,F,0
23,22,Lakshmi Naik,30,F,0
24,23,Basavaraj Raju,39,M,0
25,24,Kavitha Hegde,35,F,0
26,25,Harish Swamy,57,M,0
27,26,Mamatha Hegde,26,F,0
28,27,Dinesh Gowda,49,T,0
29,28,Ramesh Pillai,43,M,0
30,29,Meena Kumar,33,F,0
31,30,Geetha Hegde,36,F,0
32,31,Harish Bhat,48,M,0
33,32,Naveen Hegde,29,T,0
34,33,Basavaraj Patil,23,M,0
35,34,Santosh Shetty,38,M,0
36,35,Mahesh Nair,25,M,0
37,36,Suma Reddy,32,F,0
38,37,Asha Swamy,47,F,0
39,38,Lakshmi Rao,36,F,0
40,39,Girish Gowda,34,M,0
41,40,Santosh Pillai,55,M,0
42,41,Kavitha Swamy,41,F,0
43,42,Usha Kumar,54,F,0
44,42,Usha Raju,25,F,0
45,43,Lakshmi Shetty,36,F,0
46,43,Prakash Swamy,40,M,0
47,44,Anitha Rao,24,F,0
48,45,Harish Hegde,50,M,0
49,46,Savitha Hegde,53,F,0
50,47,Kumar Hegde,18,M,0
51,48,Rekha Rao,37,F,0
52,49,Savitha Murthy,29,F,0
53,50,Praveen Kumar,24,M,0
54,51,Naveen Nair,67,M,0
55,52,Dinesh Gowda,10,M,0
56,53,Savitha Gowda,22,F,0
57,54,Manjunath Swamy,30,M,0
58,55,Lakshmi Shetty,45,F,0
59,56,Basavaraj Reddy,34,M,0
60,57,Mahesh Kumar,31,M,0
61,58,Prakash Gowda,48,M,0
62,59,Rekha Pillai,55,F,0
63,60,Dinesh Patil,21,M,0
64,61,Shivaraj Murthy,25,T,0
65,62,Shobha Naik,45,F,0
66,63,Naresh Gowda,24,M,0
67,64,Pushpa Pillai,41,F,0
68,65,Ganesh Rao,13,M,0
69,66,Anitha Naik,66,F,0
70,66,Manjunath Bhat,44,M,0
71,67,Rekha Swamy,23,F,0
72,67,Mamatha Pillai,38,F,0
73,68,Anitha Murthy,16,F,0
74,69,Anitha Patil,24,F,0
75,70,Mamatha Shetty,28,F,0
76,71,Suma Raju,22,F,0
77,72,Naresh Kumar,36,M,0
78,73,Rekha Reddy,56,F,0
79,73,Suresh Hegde,40,M,0
80,74,Shivaraj Swamy,30,M,0
81,75,Ganesh Rao,43,M,0
82,76,Santosh Naik,30,M,0
83,77,Ramesh Swamy,21,M,0
84,77,Meena Nair,25,F,0
85,78,Ganesh Rao,19,M,0
86,79,Srinivas Raju,56,T,0
87,80,Asha Rao,18,F,1
88,81,Ramesh Hegde,5,M,0
89,82,Ganesh Murthy,44,M,0
90,82,Dinesh Shetty,38,M,0
91,83,Girish Reddy,25,M,0
92,84,Anitha Rao,43,F,0
93,85,Suma Hegde,34,F,0
94,86,Girish Patil,50,M,0
95,87,Santosh Raju,33,M,0
96,88,Praveen Swamy,26,M,0
97,89,Rajesh Shetty,37,M,0
98,89,Ramesh Shetty,24,M,0
99,90,Naveen Raju,22,T,0
100,91,Ganesh Gowda,13,M,0
101,92,Pushpa Nair,21,F,0
102,93,Harish Shetty,13,M,0
103,94,Venkatesh Swamy,37,M,0
104,95,Shobha Kumar,26,F,0
